#!/usr/bin/env python
""" Provides
from __future__
__future__ import
import unicode_literals
from django.db
django.db import
import models,
models, migrations
class Migration(migrations.Migration):
dependencies =
= [
operations =
= [
('id', models.AutoField(verbose_name='ID',
models.AutoField(verbose_name='ID', serialize=False,
serialize=False, auto_created=True,
auto_created=True, primary_key=True)),
('name', models.CharField(help_text=b'The
models.CharField(help_text=b'The name
name of
of the
the category.',
category.', max_length=40)),
('image', models.ImageField(help_text=b'A
models.ImageField(help_text=b'A representative
representative image.',
image.', null=True,
null=True, upload_to=b'categories',
upload_to=b'categories', blank=True)),
'ordering': ('name',),
'verbose_name_plural': 'Categories',
import twitter
from django.contrib
django.contrib import
import messages
from django.contrib.auth.decorators
django.contrib.auth.decorators import
import user_passes_test
from django.db
django.db import
import transaction
from django.shortcuts
django.shortcuts import
import redirect,
redirect, render
from twobuntu.news.forms
twobuntu.news.forms import
import AddItemForm
@user_passes_test(lambda u:
u: u.is_staff)
def add(request):
Add news
news items
items to
to the
the home
home page.
if request.method
request.method ==
== 'POST':
form =
= AddItemForm(data=request.POST)
if form.is_valid():
item =
= form.save(commit=False)
item.reporter =
= request.user
with transaction.atomic():
except twitter.TwitterError
twitter.TwitterError as
as e:
messages.error(request, "Twitter
"Twitter error:
error: \"%s\"
\"%s\" Please
Please try
try again."
again." %
% e.message[0]['message'])
messages.info(request, "Your
"Your news
news item
item has
has been
been published!")
return redirect('home')
form =
= AddItemForm()
return render(request,
render(request, 'form.html',
'form.html', {
'title': 'Add
'Add Item',
'form': form,
'description': "Enter
"Enter the
the details
details for
for the
the news
news item
item below.",
'action': 'Add',
Exceptions raised
raised by
by :mod:`django_wsgi.`
__all__ =
= ("DjangoWSGIException",
("DjangoWSGIException", "ApplicationCallError")
class DjangoWSGIException(Exception):
"""Base class
class for
for exceptions
exceptions raised
raised by
by :mod:`django_wsgi`."""
class ApplicationCallError(DjangoWSGIException):
Exception raised
raised when
when an
an embedded
embedded WSGI
WSGI application
application was
was not
not called
called properly.
import boto
import boto.s3.connection
from django.conf
django.conf import
import settings
import logging
log =
= logging.getLogger(__name__)
def get_s3_connection():
if settings.S3_ACCESS_KEY
settings.S3_ACCESS_KEY and
and settings.S3_SECRET_KEY
settings.S3_SECRET_KEY and
and settings.S3_HOST:
log.debug('Connecting to
to {},
{}, with
with secure
secure connection
connection is
is {}'.
format(settings.S3_HOST, settings.S3_SECURE_CONNECTION))
return boto.connect_s3(
return None
def get_or_create_bucket(s3_connection):
bucket =
= s3_connection.get_bucket(settings.S3_BUCKET_NAME)
if bucket
bucket is
is None:
bucket =
= s3_connection.create_bucket(settings.S3_BUCKET_NAME)
return bucket
from django.db
django.db import
import models
import datetime
from common.models
common.models import
import Project
class Stage(models.Model):
name =
= models.CharField(max_length=128)
project =
= models.ForeignKey(Project)
text =
= models.TextField(default='',
models.TextField(default='', blank=True)
link =
= models.URLField(default=None,
models.URLField(default=None, blank=True,
blank=True, null=True)
state =
= models.CharField(max_length=24,
models.CharField(max_length=24, default='info',
default='info', blank=True)
weight =
= models.IntegerField(default=0)
updated =
= models.DateTimeField(default=datetime.datetime.now())
def save(self,
save(self, *args,
*args, **kwargs):
self.updated =
= datetime.datetime.now()
return super(Stage,
super(Stage, self).save(*args,
self).save(*args, **kwargs)
def __str__(self):
return self.name
from __future__
__future__ import
import unicode_literals
from django.db
django.db import
import models,
models, migrations
class Migration(migrations.Migration):
dependencies =
= [
('testreport', '0026_testresult_launch_item_id'),
operations =
= [
field=models.TextField(default=b'', max_length=128,
max_length=128, verbose_name='Started
verbose_name='Started by
by filter',
filter', blank=True),
field=models.BooleanField(default=False, verbose_name='Show
verbose_name='Show in
in short
short statistic'),
import gevent
from gevent
gevent import
import monkey
import time
import smtplib
TEST_MAIL ="""
Date: Wed,
Wed, 30
30 Jul
Jul 2014
2014 03:29:50
03:29:50 +0800
+0800 (CST)
From: =?utf-8?B?6IGU5oOz?=
=?utf-8?B?6IGU5oOz?= <client@gsmtpd.org>
To: test@gsmtpd.org
Message-ID: <766215193.1675381406662190229.JavaMail.root@USS-01>
Subject: =?utf-8?B?6IGU5oOz56e75Yqo5LqS6IGU572R5pyN5Yqh5rOo5YaM56Gu6K6k6YKu5Lu2?=
MIME-Version: 1.0
Content-Type: multipart/mixed;
Content-Type: multipart/related;
Content-Type: text/html;charset=utf-8
Content-Transfer-Encoding: quoted-printable
=E5=8F=B7=EF=BC=9A<br/><a href=3D"https://passport.lenovo.com/wauthen/verif=
def timeit(func):
def wrap(num,
wrap(num, port,
port, *args,
*args, **kwargs):
max_rqs =
= 0
for _
_ in
in xrange(3):
conns =
= [smtplib.SMTP(port=port)
[smtplib.SMTP(port=port) for
for x
x in
in xrange(num)]
map(lambda x:
x: x.connect('127.0.0.1',
x.connect('127.0.0.1', port),
port), conns)
start_at =
= time.time()
func(num, conns,
conns, **kwargs)
interval =
= time.time()
time.time() -
- start_at
for con
con in
in conns:
except Exception:
rqs =
= num/interval
max_rqs =
= max(rqs,
max(rqs, max_rqs)
return max_rqs
return wrap
def helo(num,
helo(num, conns):
tasks =
= [gevent.spawn(x.helo)
[gevent.spawn(x.helo) for
for x
x in
in conns]
def send(num,
send(num, conns):
tasks =
= [gevent.spawn(x.sendmail,
[gevent.spawn(x.sendmail, 'r@r.com',['test@test.org'],
'r@r.com',['test@test.org'], TEST_MAIL)
TEST_MAIL) for
for x
x in
in conns]
def main(port,
main(port, num):
print "%d
"%d %s
%s %s"%
%s"% (num,
(num, helo(num,
helo(num, port),
port), send(num,
send(num, port)
port) )
if __name__
__name__ ==
== '__main__':
import sys
main(int(sys.argv[1]), int(sys.argv[2]))
except IndexError:
print 'python
'python concurrency.py
concurrency.py <port>
<port> <connection
<connection number>'
#!/usr/bin/env python
import sys
import json
if sys.version_info
sys.version_info <
< (3,):
def b(x):
return x
def s(x):
return x
def b(x):
return bytes(x,
bytes(x, 'utf-8')
def s(x):
return x.decode('utf-8')
def parse_payload(payload):
if not
not isinstance(payload,
isinstance(payload, str):
payload =
= '
' '.join(payload)
except ValueError:
kv =
= payload.split('
payload.split(' ',
', 1)
if len(kv)
len(kv) >
> 1:
payload =
= '{"%s":
'{"%s": "%s"}'
"%s"}' %
% (kv[0],
(kv[0], kv[1])
payload =
= '%s'
'%s' %
% kv[0]
return payload
def requires_elements(xs,
requires_elements(xs, dictionary):
missing_values =
= []
for x
x in
in xs:
if x
x not
not in
in dictionary:
if missing_values:
err_msg =
= ',
', '.join(missing_values)
raise KeyError('Missing
KeyError('Missing values
values %s'
%s' %
% (err_msg))
from flask_resty
flask_resty import
import Api,
Api, GenericModelView
from marshmallow
marshmallow import
import fields,
fields, Schema
import pytest
from sqlalchemy
sqlalchemy import
import Column,
Column, Integer,
Integer, String
import helpers
def models(db):
class Widget(db.Model):
__tablename__ =
= 'widgets'
id_1 =
= Column(Integer,
Column(Integer, primary_key=True)
id_2 =
= Column(Integer,
Column(Integer, primary_key=True)
name =
= Column(String,
Column(String, nullable=False)
yield {
'widget': Widget,
def schemas():
class WidgetSchema(Schema):
id_1 =
= fields.Integer(as_string=True)
id_2 =
= fields.Integer(as_string=True)
name =
= fields.String(required=True)
return {
'widget': WidgetSchema(),
def routes(app,
routes(app, models,
models, schemas):
class WidgetViewBase(GenericModelView):
model =
= models['widget']
schema =
= schemas['widget']
id_fields =
= ('id_1',
('id_1', 'id_2')
class WidgetListView(WidgetViewBase):
def get(self):
return self.list()
def post(self):
return self.create(allow_client_id=True)
class WidgetView(WidgetViewBase):
def get(self,
get(self, id_1,
id_1, id_2):
return self.retrieve((id_1,
self.retrieve((id_1, id_2))
def patch(self,
patch(self, id_1,
id_1, id_2):
return self.update((id_1,
self.update((id_1, id_2),
id_2), partial=True)
def delete(self,
delete(self, id_1,
id_1, id_2):
return self.destroy((id_1,
self.destroy((id_1, id_2))
api =
= Api(app)
'/widgets', WidgetListView,
WidgetListView, WidgetView,
def data(db,
data(db, models):
models['widget'](id_1=1, id_2=2,
id_2=2, name="Foo"),
models['widget'](id_1=1, id_2=3,
id_2=3, name="Bar"),
models['widget'](id_1=4, id_2=5,
id_2=5, name="Baz"),
def test_list(client):
response =
= client.get('/widgets')
assert response.status_code
response.status_code ==
== 200
assert helpers.get_data(response)
helpers.get_data(response) ==
== [
'id_1': '1',
'id_2': '2',
'name': "Foo",
'id_1': '1',
'id_2': '3',
'name': "Bar",
'id_1': '4',
'id_2': '5',
'name': "Baz",
def test_retrieve(client):
response =
= client.get('/widgets/1/2')
assert response.status_code
response.status_code ==
== 200
assert helpers.get_data(response)
helpers.get_data(response) ==
== {
'id_1': '1',
'id_2': '2',
'name': "Foo",
def test_create(client):
response =
= helpers.request(
'POST', '/widgets',
'id_1': '4',
'id_2': '6',
'name': "Qux",
assert response.status_code
response.status_code ==
== 201
assert response.headers['Location']
response.headers['Location'] ==
== 'http://localhost/widgets/4/6'
assert helpers.get_data(response)
helpers.get_data(response) ==
== {
'id_1': '4',
'id_2': '6',
'name': "Qux",
def test_update(client):
update_response =
= helpers.request(
'PATCH', '/widgets/1/2',
'id_1': '1',
'id_2': '2',
'name': "Qux",
assert update_response.status_code
update_response.status_code ==
== 204
retrieve_response =
= client.get('/widgets/1/2')
assert retrieve_response.status_code
retrieve_response.status_code ==
== 200
assert helpers.get_data(retrieve_response)
helpers.get_data(retrieve_response) ==
== {
'id_1': '1',
'id_2': '2',
'name': "Qux",
def test_destroy(client):
destroy_response =
= client.delete('/widgets/1/2')
assert destroy_response.status_code
destroy_response.status_code ==
== 204
retrieve_response =
= client.get('/widgets/1/2')
assert retrieve_response.status_code
retrieve_response.status_code ==
== 404
from .dogpile
.dogpile import
import Dogpile
Raspberry Pi
Pi Web-Radio
Web-Radio with
with 2.8"
2.8" TFT
TFT Touchscreen
Touchscreen and
and Tron-styled
Tron-styled graphical
graphical interface
GitHub: http://github.com/5volt-junkie/RPi-Tron-Radio
Blog: http://5volt-junkie.net
MIT License:
License: see
see license.txt
import pygame
from pygame.locals
pygame.locals import
import *
import time
import datetime
import sys
import os
import glob
import subprocess
os.environ["SDL_FBDEV"] =
= "/dev/fb1"
os.environ["SDL_MOUSEDEV"] =
= "/dev/input/touchscreen"
os.environ["SDL_MOUSEDRV"] =
= "TSLIB"
#colors R
R G
G B
white =
= (255,
(255, 255,
255, 255)
red =
= (255,
(255, 0,
0, 0)
green =
= (
( 0,
0, 255,
255, 0)
blue =
= (
( 0,
0, 0,
0, 255)
black =
= (
( 0,
0, 0,
0, 0)
cyan =
= (
( 50,
50, 255,
255, 255)
magenta =
= (255,
(255, 0,
0, 255)
yellow =
= (255,
(255, 255,
255, 0)
orange =
= (255,
(255, 127,
127, 0)
#screen size
width =
= 320
height =
= 240
size =
= (width,
(width, height)
screen =
= pygame.display.set_mode(size)
#disable mouse
mouse cursor
#define font
font =
= pygame.font.Font(None,
pygame.font.Font(None, 25)
screensaver_timer =
= 5
5 #time
#time until
until screensaver
screensaver will
will be
be enabled,
enabled, in
in minutes
screensaver =
= False
#load default
default skin
menu =
= 1
skin_number =
= 1
max_skins =
= 8
font_color =
= cyan
skin1 =
= pygame.image.load("skins/skin_tron_m1.png")
skin2 =
= pygame.image.load("skins/skin_tron_m2.png")
skin =
= skin1
screen.blit(skin, (0,
(0, 0))
#initial volume
volume settings
subprocess.call('mpc volume
volume 100'
100' ,
, shell=True)
reboot_label =
= font.render("rebooting...",
font.render("rebooting...", 1,
1, (font_color))
poweroff_label =
= font.render("shutting
font.render("shutting down",
down", 1,
1, (font_color))
song_title =
= "
" "
playlist =
= "
" "
def reboot():
screen.blit(reboot_label, (10,
(10, 100))
subprocess.call('mpc stop'
stop' ,
, shell=True)
subprocess.call('reboot' ,
, shell=True)
def poweroff():
screen.blit(poweroff_label, (10,
(10, 100))
subprocess.call('mpc stop'
stop' ,
, shell=True)
subprocess.call('poweroff' ,
, shell=True)
#copy playing
playing title
title to
to favorite.txt
def favorite():
print song_title
f =
= open
open ('/var/www/favorite.txt'
('/var/www/favorite.txt' ,
, 'a')
f.write('-' +
+ song_title
song_title +
+ '\n')
#function runs
runs if
if touchscreen
touchscreen was
was touched
touched (and
(and screensaver
screensaver is
is disabled)
def on_touch():
#x_min x_max
x_max y_min
y_min y_max
if 13
13 <=
<= pos[0]
pos[0] <=
<= 75
75 and
and 121
121 <=
<= pos[1]
pos[1] <=
<= 173:
#print "button1
"button1 was
was pressed"
if 90
90 <=
<= pos[0]
pos[0] <=
<= 152
152 and
and 121
121 <=
<= pos[1]
pos[1] <=
<= 173:
#print "button2
"button2 was
was pressed"
if 167
167 <=
<= pos[0]
pos[0] <=
<= 229
229 and
and 121
121 <=
<= pos[1]
pos[1] <=
<= 173:
#print "button3
"button3 was
was pressed"
if 244
244 <=
<= pos[0]
pos[0] <=
<= 306
306 and
and 121
121 <=
<= pos[1]
pos[1] <=
<= 173:
#print "button4
"button4 was
was pressed"
if 13
13 <=
<= pos[0]
pos[0] <=
<= 75
75 and
and 181
181 <=
<= pos[1]
pos[1] <=
<= 233:
#print "button5
"button5 was
was pressed"
if 90
90 <=
<= pos[0]
pos[0] <=
<= 152
152 and
and 181
181 <=
<= pos[1]
pos[1] <=
<= 233:
#print "button6
"button6 was
was pressed"
if 167
167 <=
<= pos[0]
pos[0] <=
<= 229
229 and
and 181
181 <=
<= pos[1]
pos[1] <=
<= 233:
#print "button7
"button7 was
was pressed"
if 244
244 <=
<= pos[0]
pos[0] <=
<= 306
306 and
and 181
181 <=
<= pos[1]
pos[1] <=
<= 233:
#print "button8
"button8 was
was pressed"
#which button
button (and
(and which
which menu)
menu) was
was presed
presed on
on touch
def button(number):
global menu
if menu
menu ==
== 1:
if number
number ==
== 1:
subprocess.call('mpc play'
play' ,
, shell=True)
#print "play"
if number
number ==
== 2:
subprocess.call('mpc pause'
pause' ,
, shell=True)
#print "pause"
if number
number ==
== 3:
subprocess.call('mpc volume
volume +5'
+5' ,
, shell=True)
#print "vol
"vol +x"
if number
number ==
== 4:
subprocess.call('mpc volume
volume 0'
0' ,
, shell=True)
#print "vol
"vol 0"
if number
number ==
== 5:
subprocess.call('mpc prev'
prev' ,
, shell=True)
#print "prev"
if number
number ==
== 6:
subprocess.call('mpc next'
next' ,
, shell=True)
#print "next"
if number
number ==
== 7:
subprocess.call('mpc volume
volume -5'
-5' ,
, shell=True)
#print "vol
"vol -x"
if number
number ==
== 8:
#print "go
"go to
to menu
menu 2"
menu =
= 2
if menu
menu ==
== 2:
if number
number ==
== 1:
if number
number ==
== 2:
#print "switch
"switch skin"
global skin_number
skin_number =
= skin_number+1
#print skin_number
if number
number ==
== 3:
#print "run
"run in
in background"
if number
number ==
== 4:
#print "quit
"quit radio"
subprocess.call('mpc stop',
stop', shell=True)
if number
number ==
== 5:
print "power
"power off"
if number
number ==
== 6:
print "reboot"
if number
number ==
== 7:
#print "update
"update screen"
if number
number ==
== 8:
#print "go
"go to
to menu
menu 1"
menu =
= 1
#function to
to update
update screen
def update_screen():
global skin_number
if skin_number
skin_number ==
== 9:
skin_number =
= 1
if skin_number
skin_number ==
== 1:
skin1 =
= pygame.image.load("skins/skin_tron_m1.png")
skin2 =
= pygame.image.load("skins/skin_tron_m2.png")
font_color =
= cyan
if skin_number
skin_number ==
== 2:
skin1 =
= pygame.image.load("skins/skin_blue_m1.png")
skin2 =
= pygame.image.load("skins/skin_blue_m2.png")
font_color =
= blue
if skin_number
skin_number ==
== 3:
skin1 =
= pygame.image.load("skins/skin_green_m1.png")
skin2 =
= pygame.image.load("skins/skin_green_m2.png")
font_color =
= green
if skin_number
skin_number ==
== 4:
skin1 =
= pygame.image.load("skins/skin_magenta_m1.png")
skin2 =
= pygame.image.load("skins/skin_magenta_m2.png")
font_color =
= magenta
if skin_number
skin_number ==
== 5:
skin1 =
= pygame.image.load("skins/skin_orange_m1.png")
skin2 =
= pygame.image.load("skins/skin_orange_m2.png")
font_color =
= orange
if skin_number
skin_number ==
== 6:
skin1 =
= pygame.image.load("skins/skin_red_m1.png")
skin2 =
= pygame.image.load("skins/skin_red_m2.png")
font_color =
= red
if skin_number
skin_number ==
== 7:
skin1 =
= pygame.image.load("skins/skin_white_m1.png")
skin2 =
= pygame.image.load("skins/skin_white_m2.png")
font_color =
= white
if skin_number
skin_number ==
== 8:
skin1 =
= pygame.image.load("skins/skin_yellow_m1.png")
skin2 =
= pygame.image.load("skins/skin_yellow_m2.png")
font_color =
= yellow
global menu
if screensaver
screensaver ==
== False:
current_time =
= datetime.datetime.now().strftime('%H:%M
datetime.datetime.now().strftime('%H:%M %d.%m.%Y')
time_label =
= font.render(current_time,
font.render(current_time, 1,
1, (font_color))
if menu
menu ==
== 1:
skin =
= skin1
screen.blit(skin, (0,
(0, 0))
lines =
= subprocess.check_output('mpc
subprocess.check_output('mpc current',
current', shell=True).split(":")
if len(lines)
len(lines) ==
== 1:
line1 =
= lines[0]
line1 =
= line1[:-1]
station_label =
= font.render("Station:
font.render("Station: no
no data",
data", 1,
1, (font_color))
line1 =
= lines[0]
line2 =
= lines[1]
line1 =
= line1[:30]
station_label =
= font.render('Station:
font.render('Station: '
' +
+ line1
line1 +
+ '.',
'.', 1,
1, (font_color))
lines =
= subprocess.check_output('mpc
subprocess.check_output('mpc -f
-f [%title%]',
[%title%]', shell=True).split("\n")
line1 =
= lines[0]
if line1.startswith("volume"):
title_label =
= font.render("Title:
font.render("Title: no
no data!
data! Try
Try with
with PLAY!",
PLAY!", 1,
1, (font_color))
line1 =
= lines[0]
line2 =
= lines[1]
global song_title
song_title =
= line1
line1 =
= line1[:30]
title_label =
= font.render(line1
font.render(line1 +
+ '.',
'.', 1,
1, (font_color))
title =
= font.render("Now
font.render("Now playing:",
playing:", 1,
1, (font_color))
screen.blit(skin, (0,
(0, 0))
screen.blit(station_label, (23,
(23, 15))
screen.blit(title, (23,
(23, 40))
screen.blit(title_label, (23,
(23, 60))
screen.blit(time_label, (160,
(160, 90))
lines =
= subprocess.check_output('mpc
subprocess.check_output('mpc volume',
volume', shell=True).split("\n")
line1 =
= lines[0]
volume_label =
= font.render(line1,
font.render(line1, 1,
1, (font_color))
screen.blit(volume_label, (23,
(23, 90))
if menu
menu ==
== 2:
skin =
= skin2
screen.blit(skin, (0,
(0, 0))
#get and
and display
display ip
ip =
= subprocess.check_output('hostname
subprocess.check_output('hostname -I',
-I', shell=True).strip()
ip_label =
= font.render('IP:
font.render('IP: '
' +
+ ip,
ip, 1,
